0.551099	0
0.767117	-1.68137
9.03312	-32.9779
-0.842552	3.60653
-0.439052	1.91744
-0.322038	1.34875
-0.269364	1.05239
-0.240562	0.866703
-0.222923	0.737827
-0.211273	0.642355
-0.203149	0.568347
-0.197245	0.509024
-0.192811	0.460226
-0.189393	0.41925
-0.186699	0.384255
-0.184536	0.353942
-0.182771	0.327365
-0.181309	0.303819
-0.180085	0.282766
-0.179048	0.263791
-0.178159	0.246562
-0.177392	0.230818
-0.176724	0.216344
-0.176136	0.202965
-0.175617	0.190537
-0.175153	0.178938
-0.174738	0.168066
-0.174362	0.157836
-0.174021	0.148171
-0.173709	0.13901
-0.173422	0.130296
-0.173156	0.12198
-0.172908	0.114021
-0.172676	0.106382
-0.172457	0.099028
-0.17225	0.0919312
-0.172052	0.0850648
-0.171863	0.0784055
-0.17168	0.0719325
-0.171503	0.0656274
-0.17133	0.0594745
-0.17116	0.0534606
-0.170993	0.0475766
-0.170827	0.0418195
-0.170662	0.0361976
-0.170497	0.0307475
-0.170329	0.0256072
-0.169681	0.0214129
-0.166259	0.0165061
-0.163979	0.00799771
-0.16386	0
-0.163979	-0.00799771
-0.166259	-0.0165061
-0.169681	-0.0214129
-0.170329	-0.0256072
-0.170497	-0.0307475
-0.170662	-0.0361976
-0.170827	-0.0418195
-0.170993	-0.0475766
-0.17116	-0.0534606
-0.17133	-0.0594745
-0.171503	-0.0656274
-0.17168	-0.0719325
-0.171863	-0.0784055
-0.172052	-0.0850648
-0.17225	-0.0919312
-0.172457	-0.099028
-0.172676	-0.106382
-0.172908	-0.114021
-0.173156	-0.12198
-0.173422	-0.130296
-0.173709	-0.13901
-0.174021	-0.148171
-0.174362	-0.157836
-0.174738	-0.168066
-0.175153	-0.178938
-0.175617	-0.190537
-0.176136	-0.202965
-0.176724	-0.216344
-0.177392	-0.230818
-0.178159	-0.246562
-0.179048	-0.263791
-0.180085	-0.282766
-0.181309	-0.303819
-0.182771	-0.327365
-0.184536	-0.353942
-0.186699	-0.384255
-0.189393	-0.41925
-0.192811	-0.460226
-0.197245	-0.509024
-0.203149	-0.568347
-0.211273	-0.642355
-0.222923	-0.737827
-0.240562	-0.866703
-0.269364	-1.05239
-0.322038	-1.34875
-0.439052	-1.91744
-0.842552	-3.60653
9.03312	32.9779
0.767117	1.68137
